stocking,spp,hgt
714,clo,13.4
714,clo,13.7
714,clo,15.3
714,clo,13.5
714,clo,14.8
714,clo,13.9
714,clo,14.5
714,clo,14.4
714,clo,14.2
714,clo,14.8
714,clo,14.4
714,clo,12.7
714,clo,14.6
714,clo,11.3
714,clo,12.5
714,clo,14.8
714,clo,11.2
714,clo,15.1
714,clo,15.3
714,clo,15.2
3333,clo,15.5
3333,clo,14.9
3333,clo,16.6
3333,clo,16.3
3333,clo,17.5
3333,clo,16.3
3333,clo,15.9
3333,clo,14.3
3333,clo,15.4
3333,clo,14.4
3333,clo,15.7
3333,clo,15.9
3333,clo,15.9
3333,clo,16
3333,clo,16.4
3333,clo,16.3
3333,clo,14.8
3333,clo,15.6
3333,clo,15.1
3333,clo,14.3
3333,clo,16
3333,clo,16.6
3333,clo,17.1
3333,clo,17.2
3333,clo,16.6
3333,clo,17.5
3333,clo,15.2
3333,clo,18.3
3333,clo,17.7
3333,clo,17
3333,clo,16.2
3333,clo,16
3333,clo,15.6
3333,clo,14.9
3333,clo,16.2
3333,clo,14.9
3333,clo,16.4
3333,clo,16.8
3333,clo,15.9
3333,clo,16.4
714,clo,16.8
714,clo,14.1
714,clo,14.8
714,clo,14.8
714,clo,14.7
714,clo,15.2
714,clo,22.8
714,clo,13.3
714,clo,23.1
714,clo,19
714,clo,14.2
714,clo,17
714,clo,18.1
714,clo,15.2
714,clo,14
714,clo,15.8
714,clo,12.7
714,clo,13.3
714,clo,15.5
714,clo,16.6
1000,clo,12.9
1000,clo,18.4
1000,clo,17.6
1000,clo,16.5
1000,clo,15.8
1000,clo,14.8
1000,clo,18.2
1000,clo,18.5
1000,clo,18.6
1000,clo,16.7
1000,clo,20.7
1000,clo,14.6
1000,clo,15.8
1000,clo,15.8
1000,clo,14.3
1000,clo,16.4
1000,clo,15.2
1000,clo,17.9
1000,clo,16.8
1000,clo,18
1000,clo,18.1
1000,clo,18.7
1000,clo,17.6
1000,clo,20.1
1000,clo,18.3
1000,clo,17.5
1000,clo,18.6
1000,clo,19.1
1000,clo,20.3
1000,clo,19.7
1000,clo,19.6
1000,clo,18.9
1000,clo,17.7
1000,clo,16.4
1000,clo,17.9
1000,clo,18.3
1000,clo,17.2
1000,clo,18
1000,clo,17.8
1000,clo,17.3
1000,clo,15.6
1000,clo,18
1000,clo,19.3
1000,clo,17.1
1000,clo,17.1
1000,clo,17.5
1000,clo,19.2
1000,clo,18.5
1000,clo,18
1000,clo,17.2
1000,clo,19.1
1000,clo,14.4
1000,clo,18.6
1000,clo,17.1
1000,clo,16.3
1000,clo,19.1
1000,clo,18.4
1000,clo,16.6
1000,clo,18.3
1000,clo,18.2
1667,clo,18.6
1667,clo,17.1
1667,clo,17.2
1667,clo,17.9
1667,clo,16.8
1667,clo,17.2
1667,clo,17.9
1667,clo,17.8
1667,clo,17.2
1667,clo,18.4
1667,clo,18.7
1667,clo,17.9
1667,clo,18.2
1667,clo,18.1
1667,clo,17.5
1667,clo,18.7
1667,clo,18
1667,clo,19
1667,clo,17.7
1667,clo,19.2
1667,clo,18.3
1667,clo,18.5
1667,clo,18.3
1667,clo,18.6
1667,clo,19.1
1667,clo,18.6
1667,clo,19.5
1667,clo,16
1667,clo,18.6
1667,clo,17
1667,clo,18.6
